1	江苏万卷文化发展有限公司（2016年4月29日变更为“江苏万卷润德文化传播有限公司”）	江苏省沐阳县三匹马商业广场2幢119室	提供虚假材料谋取中标	处以中标金额141279.60元千分之七即人民币壹万伍仟肆佰肆拾陆元肆角捌分（988.96元）的罚款...	《政府采购法》第七十七条	2016-03-02	2018-03-01	苏州市相城区财政局
2	深圳市绿保康餐饮管理有限公司	深圳市龙岗区坂田街道布龙路329号1栋办公楼二楼	该公司在“罗湖区机关饭堂食材采购配送预选供应商库增补采购项目（B 包）项目”中提供的4辆冷藏车（粤B...	一、 一年内禁止参与罗湖区政府采购活动；二、列入供应商诚信档案（列入不良行为记录名单）	《深圳经济特区政府采购条例》第五十七条	2016-07-22	2017-07-21	深圳市罗湖区财政局
3	深圳市天景农产品有限公司	深圳市龙岗区南湾街道吉厦社区早禾坑工业区8号K栋1楼	该公司在“罗湖区机关饭堂食材采购配送预选供应商库增补采购项目”中提供的《土地承包合同》、《土地租赁合...	一、中标结果无效；二、一年内禁止参与罗湖区政府采购活动，记入供应商诚信档案。	《深圳经济特区政府采购条例》第五十七条	2016-06-22	2017-06-21	深圳市罗湖区财政局
4	深圳圣龙实业发展有限公司	深圳市坪山新区坑梓办事处龙田社区莹展工业园	深圳圣龙实业发展有限公司参加了由深圳市政府采购中心组织的“医护人员服装购置”采购项目（项目编号：SZ...	一、罚款人民币14299.83元（1588870元×9‰=14299.83元）；二、三年内禁止参与深...	《中华人民共和国政府采购法实施条例》第七十二条第一款第（六）项规定和《中华人民共和国政府采购法》第七...	2016-08-15	2019-08-14	深圳市财政委员会
5	青岛营海建设（集团）有限公司	青岛市胶州市营海镇胶州湾工业园区内	在处理青岛广播电视大学新校装修项目（项目编号：T-20150921-021）的投诉过程中，本机关发现...	中标无效，对你公司处以采购金额千分之七即8252.09元的罚款，列入不良行为记录名单，自本处罚决定书...	根据《中华人民共和国政府采购法》第七十七条的规定	2016-08-04	2018-08-04	青岛市财政局
6	上海缤石电子科技有限公司	上海市普陀区祁连山南路2891弄105号2237室	当事人在成交通知书发出之日起30日内，无正当理由拒不与与采购人签订政府采购合同	处以采购金额千分之七即人民币柒佰肆拾贰元整的罚款，列入不良行为记录名单，在2年内禁止参加政府采购活动...	《中华人民共和国政府采购法实施条例》第七十二条第一款第（二）项的规定	2016-06-30	2018-06-30	苏州市财政局
7	苏州雷迪森贸易有限公司	苏州市吴中区木渎镇长江路3号7幢120室	招标采购中涉嫌提供虚假材料谋求中标	处以采购金额千分之七即人民币壹万零捌佰伍拾伍元陆角整的罚款，列入不良行为记录名单，并予以公告，在2年...	《中华人民共和国政府采购法》第七十七条第一款第一项的规定	2016-06-30	2018-06-30	苏州市财政局
8	深圳市碧韵达科技有限公司	深圳市福田区红荔路上步工业区鹏基上步工业厂房301栋上航大厦510	2014年9月23日，深圳市碧韵达科技有限公司（以下简称碧韵达公司）参加了深圳市政府采购中心组织的“...	一、罚款人民币52000元（2600000元×20‰=52000元）；二、3年内禁止参与深圳市政府采...	《深圳经济特区政府采购条例》第五十七条第一款第三项和《深圳经济特区政府采购条例实施细则》第七十六条第...	2016-06-15	2019-06-14	深圳市财政委员会
9	南昌市康普贸易有限公司	江西省南昌市进贤县长山晏乡进长路144号	该公司于2016年1月29日参加了由深圳市龙岗区政府采购中心组织的区社管中心康复设备采购项目（项目编...	一、禁止你公司一年内参加深圳市政府采购活动；二、将你公司记入供应商诚信档案；三、处以该项目采购金额千...	《深圳经济特区政府采购条例》第五十七条规定	2016-07-04	2017-07-03	深圳市龙岗区财政局
10	福建鸿智达电子有限公司	福州市五一中路国药大厦6层	串通投标	处以有关采购项目采购金额(人民币贰万零玖佰伍拾元整，小写：人民币20950.00元）千分之五的罚款即...	根据《政府采购法》第二十五条第一款、第七十七条第一款第三项的规定。	2016-07-07	2017-07-06	福建省财政厅
11	福建鑫创世纪信息技术有限公司	福州铜盘白龙路2道5座103号	串通投标	处以有关采购项目采购金额(人民币贰万零玖佰伍拾元整，小写：人民币20950.00元）千分之五的罚款即...	根据《政府采购法》第二十五条第一款、第七十七条第一款第三项的规定。	2016-07-07	2017-07-06	福建省财政厅
12	福建省华诚信息技术有限公司	福州市马尾区星发路8号	串通投标	处以有关项目采购金额千分之柒的罚款即人民币壹万叁仟伍佰肆拾柒元陆角贰分（小写：人民币13547.62...	根据《政府采购法》第二十五条第一款、第七十七条第一款第三项的规定。	2016-07-01	2017-06-30	福建省财政厅
13	福建省科威技术发展有限公司	福州市马尾区君竹新村1-402	串通投标	处以有关项目采购金额千分之柒的罚款即人民币壹万叁仟伍佰肆拾柒元陆角贰分（小写：人民币13547.62...	根据《政府采购法》第二十五条第一款、第七十七条第一款第三项的规定。	2016-07-01	2017-06-30	福建省财政厅
14	厦门金网科技有限公司	厦门软件园观日路30号105单元	厦门金网科技有限公司在参加“中达电商园工作站相关设备采购与安装政府采购项目”投标中，提供的检测报告与...	处以涉案采购项目采购金额（546000元）千分之五即2730元（贰仟柒佰叁拾元整）的罚款，列入不良行...	《中华人民共和国政府采购法》第七十七条和《厦门市财政部门行政处罚自由裁量权执行标准》。	2016-06-07	2017-06-06	厦门市海沧区财政局
15	南通金德钢结构有限公司	江苏南通市通州区五接镇天后宫村	2016年4月19日，南通金德钢结构有限公司在参加“霍山佛子岭旅游发展有限公司全自动前卸前收水库清漂...	1、霍山佛子岭旅游发展有限公司全自动前卸前收水库清漂船采购项目中标无效。 2、处以中标金额千分之五的...	依据《中华人民共和国政府采购法》第七十七条	2016-06-16	2017-06-15	霍山县财政局
16	安徽省迪森安防工程有限公司	安徽省合肥市瑶海区临淮路东苑新村16幢208室	该公司于2016年4月8日参加安徽省九成监狱管理分局阻车器采购项目，项目预算为26万元。该项目中标（...	（一）处以本次采购金额千分之五的罚款，即840元；（二）列入不良行为记录名单，自本决定书下达之日起，...	根据《中华人民共和国政府采购法》第七十七条	2016-06-16	2017-06-15	安徽省财政厅
17	沈阳市红利来厨房设备制造有限公司	沈阳市和平区浑河站西街道新立村	提供虚假材料谋取中标	处以中标金额2206640元千分之七即人民币壹万伍仟肆佰肆拾陆元肆角捌分（15446.48元）的罚款...	<政府采购法>第七十七条	2015-11-17	2017-11-16	苏州市相城区财政局
18	深圳市软沟通文化发展有限公司	深圳市龙华新区民治办事处民强社区东边工业园3栋205-206	该公司在参加“坪山新区2015年地质灾害防治知识宣传”政府采购活动中涉嫌提供虚假的“聘书”资料。	罚款2546元；一年内禁止参与深圳市政府采购活动；记入供应商诚信档案。	《深圳经济特区政府采购条例》第五十七条第（三）项和《深圳经济特区政府采购条例实施细则》第七十六条第一...	2016-05-04	2017-05-03	深圳市财政委员会
19	福建省鑫银河机电设备贸易有限公司	福州市五四路282号	串通投标	处以有关项目采购金额千分之五的罚款即人民币叁仟伍佰玖拾壹元整（小写：人民币3591元），列入不良行为...	根据《政府采购法》第二十五条第一款、第七十七条第一款第三项的规定。	2016-05-09	2017-05-08	福建省财政厅
20	福州博奥电器销售有限公司	福州市晋安区新店镇秀峰路536号秀北小区11-08店面	串通投标	处以有关项目采购金额千分之五的罚款即人民币叁仟伍佰玖拾壹元整（小写：人民币3591元），列入不良行为...	根据《政府采购法》第二十五条第一款、第七十七条第一款第三项的规定。	2016-05-09	2017-05-08	福建省财政厅
21	江苏方略教育装备有限公司	江苏省无锡市锡山区东亭春雷路12号	提供虚假材料谋取中标	处以中标金额141279.60元千分之七即人民币壹万伍仟肆佰肆拾陆元肆角捌分（988.96元）的罚款...	《政府采购法》第七十七条	2016-03-02	2018-03-01	苏州市相城区财政局
22	北京紫英宸文化发展有限公司	北京市朝阳区金盏乡东窑路雷庄村77号	提供虚假材料谋取中标	处以中标金额180482元千分之七即人民币壹仟贰佰陆拾叁元叁角柒分（1263.37元）的罚款，列入不...	《政府采购法》第七十七条	2016-03-02	2018-03-01	苏州市相城区财政局
23	青岛绿青藤物业管理有限责任公司	青岛市崂山区深圳路185号1号楼1503室	2015年11月，本机关在处理青岛市纤维纺织品监督检验研究院物业管理采购项目投诉时发现，该公司在参与...	本机关决定对该公司作出采购金额千分之六（1914元）的罚款，列入不良行为记录名单，在一年内禁止参加政...	根据政府采购法第七十七条第一款第一项和《青岛市财政局行政处罚裁量基准》（青财法〔2014〕3号）第六...	2016-04-18	2017-04-17	青岛市财政局
24	深圳市未来视野科技有限公司	深圳市福田区车公庙安华工业区6栋309	该公司在市公安局禁毒支队“服务器”竞价采购项目（项目编号：SZCG2015059105）的投标活动中...	罚款人民币1380元；一年内禁止参与深圳市政府采购活动；记入供应商诚信档案。	《深圳经济特区政府采购条例》第五十七条第（二）项；《深圳经济特区政府采购条例实施细则》第七十六条第（...	2016-04-12	2017-04-11	深圳市财政委员会
25	深圳联合实验系统技术有限公司	深圳市南山区东华工业园5栋8楼811	该公司在“深圳市疾病预防控制中心飞行时间质谱仪升级系统采购”项目（招标编号：HHZB16004）的招...	罚款人民币13500元；两年内禁止参与深圳市政府采购活动；将该公司记入供应商诚信档案。	《深圳经济特区政府采购条例》第五十七条第（五）项；《深圳经济特区政府采购条例实施细则》第七十六条第（...	2016-03-26	2018-03-25	深圳市财政委员会
26	深圳市华益医疗器材有限公司	深圳市南山区常兴路常兴广场西座23G	该公司在“深圳市疾病预防控制中心飞行时间质谱仪升级系统采购”项目（招标编号：HHZB16004）的招...	罚款人民币13500元；两年内禁止参与深圳市政府采购活动；将该公司记入供应商诚信档案	《深圳经济特区政府采购条例》第五十七条第（五）项；《深圳经济特区政府采购条例实施细则》第七十六条第（...	2016-03-26	2018-03-25	深圳市财政委员会
27	福建鑫和昌科技有限公司	福州市仓山区螺洲镇杜园路18号海峡西岸国际物流商贸城（二期）第16#楼3层11.12.13室	与同一项目其他供应商串通投标	处采购预算金额6‰的罚款5130元，列入不良记录名单，一年内禁止参加政府采购活动。	根据《中华人民共和国政府采购法》第七十七条第一款第（三）的规定	2016-03-25	2017-03-24	莆田市财政局
28	福州春和医疗器械有限公司	福州市马尾区马尾镇创安路18号凯隆广场2# 楼19层10、11、12公寓式办公	与同一项目其他供应商串通投标	处采购预算金额6‰的罚款5130元，列入不良记录名单，一年内禁止参加政府采购活动。	根据《中华人民共和国政府采购法》第七十七条第一款第三（项）的规定	2016-03-25	2017-03-24	莆田市财政局
29	广州市伟圣实业有限公司	广州市番禺区南村镇市头东线大道北排45号之六2号厂	在肇庆市旅游景区（点）交通标识指引牌采购及安装项目（二次）中该公司为谋取中标而提供虚假资料。事实认定...	对广州市伟圣实业有限公司处以项目中标金额的千分之五即10,329.5元的罚款，并将广州市伟圣实业有限...	《中华人民共和国政府采购法》第七十七条、财政部《政府采购货物和服务招标投标管理办法》第七十四条	2015-12-31	2016-12-31	肇庆市财政局
